,product,monsternummer,aanduiding,datum,land,locatie,analyse,gehalte,mrl,verwerkingsfactor,resultaat
0,"aalbessen (rood, wit en zwart)",86812061,aalbessen rood,24‐4‐2024,Nederland,COÖPERATIE KONINKLIJKE FRUITMASTERS U.A.,cyprodinil,0.36,8.0,,CONFORM
1,"aalbessen (rood, wit en zwart)",86812061,aalbessen rood,24‐4‐2024,Nederland,COÖPERATIE KONINKLIJKE FRUITMASTERS U.A.,fludioxonil,0.48,4.0,,CONFORM
2,"aalbessen (rood, wit en zwart)",86812061,aalbessen rood,24‐4‐2024,Nederland,COÖPERATIE KONINKLIJKE FRUITMASTERS U.A.,fluopyram,0.94,4.0,,CONFORM
3,"aalbessen (rood, wit en zwart)",86812061,aalbessen rood,24‐4‐2024,Nederland,COÖPERATIE KONINKLIJKE FRUITMASTERS U.A.,spirotetramat (som),0.32,1.5,,CONFORM
4,"aalbessen (rood, wit en zwart)",86812061,aalbessen rood,24‐4‐2024,Nederland,COÖPERATIE KONINKLIJKE FRUITMASTERS U.A.,trifloxystrobin,1.4,3.0,,CONFORM
5,"aalbessen (rood, wit en zwart)",86812061,aalbessen rood,24‐4‐2024,Nederland,COÖPERATIE KONINKLIJKE FRUITMASTERS U.A.,Overige bestrijdingsmiddelen,,,,CONFORM
6,aardappelen,86770016,aardappelen,4‐3‐2024,Nederland,HELLOFRESH DC PRISMALAAN,propamocarb,0.011,0.3,,CONFORM
7,aardappelen,86770016,aardappelen,4‐3‐2024,Nederland,HELLOFRESH DC PRISMALAAN,Overige bestrijdingsmiddelen,,,,CONFORM
8,aardappelen,86781956,Kriel Jazzy,5‐9‐2024,Verenigd Koninkrijk,BROEKHOF GROENTEN EN FRUIT B.V.,Overige bestrijdingsmiddelen,,,,CONFORM
9,aardappelen,86782227,Sinora,19‐9‐2024,Nederland,FARM FRITES B.V.,fluopicolide,0.0061,0.03,,CONFORM
10,aardappelen,86782227,Sinora,19‐9‐2024,Nederland,FARM FRITES B.V.,propamocarb,0.026,0.3,,CONFORM
11,aardappelen,86782227,Sinora,19‐9‐2024,Nederland,FARM FRITES B.V.,Overige bestrijdingsmiddelen,,,,CONFORM
12,aardappelen,86782383,Sinora,25‐9‐2024,Nederland,LAMB‐WESTON MEIJER,propamocarb,0.0057,0.3,,CONFORM
13,aardappelen,86782383,Sinora,25‐9‐2024,Nederland,LAMB‐WESTON MEIJER,Overige bestrijdingsmiddelen,,,,CONFORM
14,aardappelen,86782391,Fontane,25‐9‐2024,Nederland,LAMB‐WESTON MEIJER,propamocarb,0.0062,0.3,,CONFORM
15,aardappelen,86782391,Fontane,25‐9‐2024,Nederland,LAMB‐WESTON MEIJER,Overige bestrijdingsmiddelen,,,,CONFORM
16,aardappelen,86782405,Primieum 35+,25‐9‐2024,Nederland,MCCAIN FOODS HOLLAND B.V.,propamocarb,0.012,0.3,,CONFORM
17,aardappelen,86782405,Primieum 35+,25‐9‐2024,Nederland,MCCAIN FOODS HOLLAND B.V.,Overige bestrijdingsmiddelen,,,,CONFORM
18,aardappelen,86782413,Arsenal 35+,25‐9‐2024,Nederland,MCCAIN FOODS HOLLAND B.V.,propamocarb,0.0084,0.3,,CONFORM
19,aardappelen,86782413,Arsenal 35+,25‐9‐2024,Nederland,MCCAIN FOODS HOLLAND B.V.,Overige bestrijdingsmiddelen,,,,CONFORM
20,aardappelen,86804085,kruimige aardappel,6‐3‐2024,Nederland,CRISP B.V.,Overige bestrijdingsmiddelen,,,,CONFORM
21,aardappelen,86807688,aardappelen,12‐8‐2024,Nederland,PICNIC FULFILLMENTCENTRUM,fluxapyroxad,0.005,0.3,,CONFORM
22,aardappelen,86807688,aardappelen,12‐8‐2024,Nederland,PICNIC FULFILLMENTCENTRUM,propamocarb,0.0088,0.3,,CONFORM
23,aardappelen,86807688,aardappelen,12‐8‐2024,Nederland,PICNIC FULFILLMENTCENTRUM,Overige bestrijdingsmiddelen,,,,CONFORM
24,aardappelen,86808846,aardappelen,30‐9‐2024,Marokko,IBRAHIM GROENTE GROOTHANDEL B.V.,omethoaat,0.011,0.01,,NIET CONFORM*
25,aardappelen,86808846,aardappelen,30‐9‐2024,Marokko,IBRAHIM GROENTE GROOTHANDEL B.V.,thiabendazool,0.042,0.04,,NIET CONFORM*
26,aardappelen,86808846,aardappelen,30‐9‐2024,Marokko,IBRAHIM GROENTE GROOTHANDEL B.V.,Overige bestrijdingsmiddelen,,,,CONFORM
27,aardappelen,86866757,aardappel,20‐3‐2024,Nederland,V.O.F. HARRIE GOESTEN,fluxapyroxad,0.0091,0.3,,CONFORM
28,aardappelen,86866757,aardappel,20‐3‐2024,Nederland,V.O.F. HARRIE GOESTEN,propamocarb,0.0056,0.3,,CONFORM
29,aardappelen,86866757,aardappel,20‐3‐2024,Nederland,V.O.F. HARRIE GOESTEN,Overige bestrijdingsmiddelen,,,,CONFORM
30,aardappelen,86869209,aardappel krieltjes,17‐6‐2024,Nederland,JUMBO DISTRIBUTIECENTRUM,Overige bestrijdingsmiddelen,,,,CONFORM
31,aardappelen,86894513,aardappelen,21‐8‐2024,Nederland,JUMBO DISTRIBUTIECENTRUM (409),Overige bestrijdingsmiddelen,,,,CONFORM
32,aardappelen,86896001,Zorba RITNR. 779093‐1,9‐9‐2024,Nederland,AVIKO B.V.,propamocarb,0.022,0.3,,CONFORM
33,aardappelen,86896001,Zorba RITNR. 779093‐1,9‐9‐2024,Nederland,AVIKO B.V.,Overige bestrijdingsmiddelen,,,,CONFORM
34,aardappelen,86896028,Zorba RITNR. 779104‐1,9‐9‐2024,Duitsland,AVIKO B.V.,propamocarb,0.015,0.3,,CONFORM
35,aardappelen,86896028,Zorba RITNR. 779104‐1,9‐9‐2024,Duitsland,AVIKO B.V.,Overige bestrijdingsmiddelen,,,,CONFORM
36,aardappelen,86896036,PREMIERE RITNR. 779082‐1,9‐9‐2024,Duitsland,AVIKO B.V.,propamocarb,0.0053,0.3,,CONFORM
37,aardappelen,86896036,PREMIERE RITNR. 779082‐1,9‐9‐2024,Duitsland,AVIKO B.V.,Overige bestrijdingsmiddelen,,,,CONFORM
